Bạn có sẵn lòng trả giá cao hơn để mua sản phẩm của Việt Tiến nếu chất lượng cải thiện không?,Thời điểm nào trong ngày bạn mua hàng nhiều nhất?,Bạn quan tâm đến loại sản phẩm nào?,Bạn thường mua sản phẩm ở đâu?,Bạn thường dành bao nhiêu thời gian trong ngày để sử dụng mạng xã hội?,Thời gian rảnh bạn thường sử dụng mạng xã hội nào?,Bạn thường quan tâm đến sản phẩm nào của Việt Tiến?,Bạn thường mua hàng quan tâm đến điều gì?,Giá sản phẩm đã tương xứng với chất lượng sản phẩm chưa?,"Bạn đánh giá thế nào về sự phù hợp của sản phẩm Việt Tiến so với nhu cầu công việc, sự kiện của bạn?",Bạn thấy chất lượng sản phẩm Việt Tiến như thế nào?,Đội ngũ tư vấn sản phẩm như thế nào?,Đội ngũ hỗ trợ trả hàng và hỗ trợ khách hàng như thế nào?,Chất lượng giao hàng thế nào?,Chất lượng đóng hàng thế nào?,Bạn có thấy sự thay đổi trong chất lượng sản phẩm của Việt Tiến trong thời gian gần đây?,Bạn có thường xuyên theo dõi các bản tin hoặc cập nhật từ chúng tôi không?,Bạn thích chương trình khuyến mại nào lên tôi?,Bạn có thấy các chương trình khuyến mãi của chúng tôi hấp dẫn không?,Bạn thường thấy các quảng cáo của chúng tôi ở đâu nhiều nhất?,Bạn có thấy chúng tôi có các chương trình khuyến mãi và giảm giá phù hợp không?,Những loại nội dung quảng cáo dưới dạng nào thu hút bạn nhất?,Điều gì khiến bạn chọn mua sản phẩm của Việt Tiến vì nhãn hàng khác?,Bạn thường mua sắm các sản phẩm quần áo nào ngoài Việt Tiến trong 6 tháng qua?,Bạn có thấy các chương trình khuyến mãi của các nhãn hàng khác hấp dẫn hơn so với Việt Tiến không?,Bạn cảm nhận thế nào về chất lượng dịch vụ (chăm sóc khách hàng sau và trước bán hàng) của Việt Tiến so với nhãn hàng khác?
Có,0-1h,Phụ kiện thời trang,Tiktok,1 tiếng,Tiktok,Thời trang công sở,Thương hiệu,Chưa tương xứng,Không phù hợp,Rất tốt,Rất nhiệt tình,Thân thiện,Nhanh (từ 4 đến 6 ngày),Cẩn thận,Cải thiện đáng kể,"Có, tôi luôn cập nhật thông tin mới Email marketing",Mua 1 thặng 1,"Không, tôi không quan tâm",Khác: ………………,"Có, nhưng không phải lúc nào cũng phù hợp",Đánh giá từ khách hàng,Mẫu mã đa dạng hơn,Dior,"Có, rất hấp dẫn",Tương đương
Có,21-23h,Đồng phục,Tiktok,Khác: ………………,Khác: ………………,Thời trang công sở,Giá thành,Tương xứng,Rất không phù hợp,ổn,Rất nhiệt tình,Chưa nhiệt tình,Chưa nhanh (trên 7 ngày),Không đảm bảo hàng,Không rõ,"Không, tôi không theo dõi",Free ship,"Có, thường xuyên tham gia",Tiktok,Tôi không quan tâm đến khuyến mãi,Hình ảnh,Chất lượng tốt hơn,Routine,Không theo dõi chương trình khuyến mãi,Không sử dụng dịch vụ hậu mãi
Tùy thuộc vào mức tăng giá,0-1h,Thời trang công sở,Tiktok,2 tiếng,Sàn thương mại điện tử,Thời trang công sở,Khác: ………,Rất tương xứng,Bình thường,Rất tốt,Rất nhiệt tình,Nhiệt tình,Rất nhanh chóng (từ 2 đến 3 ngày),Rất cẩn thận,Không thay đổi,Tôi chưa từng nhận được bản tin nào,Mua 1 thặng 1,"Không, các chương trình khuyến mãi không đủ hấp dẫn",Facebook,Tôi không quan tâm đến khuyến mãi,Video,Khác:________,Chanel,"Không, kém hấp dẫn hơn",Tương đương
Có,17-18h,Thời trang công sở,Tiktok,3 tiếng,Khác: ………………,Thời trang công sở,Chất lượng sản phẩm,Rất tương xứng,Bình thường,chưa tốt,Thân thiện,Nhiệt tình,Chưa nhanh (trên 7 ngày),Không đảm bảo hàng,Không rõ,"Có, nhưng chỉ khi có nội dung thú vị",Free ship,"Có, thường xuyên tham gia",Tiktok,"Không, tôi thấy khuyến mãi không hấp dẫn",Video,Dịch vụ chăm sóc KH tốt hơn,Chanel,"Có, một chút",Tương đương
Có,11-12h,Đồng phục,Sàn thương mại điện tử,1 tiếng,Tiktok,Thời trang công sở,Giá thành,Tương xứng,Rất phù hợp,ổn,Chưa nhiệt tình,Rất nhiệt tình,Rất nhanh chóng (từ 2 đến 3 ngày),Cẩn thận,Cải thiện đáng kể,Tôi chưa từng nhận được bản tin nào,Mua 1 thặng 1,"Có, nhưng hiếm khi tham gia",Instagram,Tôi không quan tâm đến khuyến mãi,Khác: _______________,Dịch vụ chăm sóc KH tốt hơn,Chanel,"Có, một chút",Tương đương
Có,17-18h,Phụ kiện thời trang,Tiktok,1 tiếng,Facebook,"Phụ kiện (giầy da, thất lưng, ví,…)",Khác: ………,Rất tương xứng,Không phù hợp,Rất tốt,Rất nhiệt tình,Thân thiện,Rất nhanh chóng (từ 2 đến 3 ngày),Cẩn thận,Cải thiện,"Có, tôi luôn cập nhật thông tin mới Email marketing",Mua 1 thặng 1,"Có, thường xuyên tham gia",Instagram,"Có, nhưng không phải lúc nào cũng phù hợp",Đánh giá từ khách hàng,Chất lượng tốt hơn,Owen,"Có, một chút",Tốt hơn
Có,21-23h,Đồng phục,Facebook,2 tiếng,Facebook,Thời trang công sở,Thương hiệu,Chưa tương xứng,Rất phù hợp,ổn,Chưa nhiệt tình,Nhiệt tình,Nhanh (từ 4 đến 6 ngày),Cẩn thận,Cải thiện,"Không, tôi không theo dõi",Khác: …………,"Không, các chương trình khuyến mãi không đủ hấp dẫn",Khác: ………………,Tôi không quan tâm đến khuyến mãi,Hình ảnh,Khác:________,Routine,"Có, rất hấp dẫn",Không sử dụng dịch vụ hậu mãi
Có,17-18h,Đồng phục,Tiktok,3 tiếng,Tiktok,Thời trang công sở,Chất lượng sản phẩm,Rất tương xứng,Phù hợp,chưa tốt,Nhiệt tình,Rất nhiệt tình,Nhanh (từ 4 đến 6 ngày),Cẩn thận,Không rõ,"Có, nhưng chỉ khi có nội dung thú vị",Mua 1 thặng 1,"Không, tôi không quan tâm",Khác: ………………,"Có, nhưng không phải lúc nào cũng phù hợp",Video,Khác:________,Routine,"Không, tương đương",Kém hơn
Không,21-23h,Phụ kiện thời trang,Khác: ………………,2 tiếng,Sàn thương mại điện tử,ves,Giá thành,Rất tương xứng,Phù hợp,chưa tốt,Thân thiện,Nhiệt tình,Chưa nhanh (trên 7 ngày),Cẩn thận,Không thay đổi,"Có, tôi luôn cập nhật thông tin mới Email marketing",Free ship,"Có, nhưng hiếm khi tham gia",Facebook,"Không, tôi thấy khuyến mãi không hấp dẫn",Khác: _______________,Mẫu mã đa dạng hơn,Nhãn hàng khác:_________,"Không, kém hấp dẫn hơn",Tốt hơn
Có,6 – 7h,Phụ kiện thời trang,Khác: ………………,1 tiếng,Khác: ………………,ves,Khác: ………,Rất tương xứng,Phù hợp,Tốt,Nhiệt tình,Thân thiện,Nhanh (từ 4 đến 6 ngày),Rất cẩn thận,Cải thiện đáng kể,"Không, tôi không theo dõi",Free ship,"Không, tôi không quan tâm",Instagram,"Có, rất phù hợp với nhu cầu của tôi",Hình ảnh,Giá rẻ hơn,Owen,"Không, kém hấp dẫn hơn",Không sử dụng dịch vụ hậu mãi
