Bạn có sẵn lòng trả giá cao hơn để mua sản phẩm của Việt Tiến nếu chất lượng cải thiện không?,Thời điểm nào trong ngày bạn mua hàng nhiều nhất?,Bạn quan tâm đến loại sản phẩm nào?,Bạn thường mua sản phẩm ở đâu?,Bạn thường dành bao nhiêu thời gian trong ngày để sử dụng mạng xã hội?,Thời gian rảnh bạn thường sử dụng mạng xã hội nào?,Bạn thường quan tâm đến sản phẩm nào của Việt Tiến?,Bạn thường mua hàng quan tâm đến điều gì?,Giá sản phẩm đã tương xứng với chất lượng sản phẩm chưa?,"Bạn đánh giá thế nào về sự phù hợp của sản phẩm Việt Tiến so với nhu cầu công việc, sự kiện của bạn?",Bạn thấy chất lượng sản phẩm Việt Tiến như thế nào?,Đội ngũ tư vấn sản phẩm như thế nào?,Đội ngũ hỗ trợ trả hàng và hỗ trợ khách hàng như thế nào?,Chất lượng giao hàng thế nào?,Chất lượng đóng hàng thế nào?,Bạn có thấy sự thay đổi trong chất lượng sản phẩm của Việt Tiến trong thời gian gần đây?,Bạn có thường xuyên theo dõi các bản tin hoặc cập nhật từ chúng tôi không?,Bạn thích chương trình khuyến mại nào lên tôi?,Bạn có thấy các chương trình khuyến mãi của chúng tôi hấp dẫn không?,Bạn thường thấy các quảng cáo của chúng tôi ở đâu nhiều nhất?,Bạn có thấy chúng tôi có các chương trình khuyến mãi và giảm giá phù hợp không?,Những loại nội dung quảng cáo dưới dạng nào thu hút bạn nhất?,Điều gì khiến bạn chọn mua sản phẩm của Việt Tiến vì nhãn hàng khác?,Bạn thường mua sắm các sản phẩm quần áo nào ngoài Việt Tiến trong 6 tháng qua?,Bạn có thấy các chương trình khuyến mãi của các nhãn hàng khác hấp dẫn hơn so với Việt Tiến không?,Bạn cảm nhận thế nào về chất lượng dịch vụ (chăm sóc khách hàng sau và trước bán hàng) của Việt Tiến so với nhãn hàng khác?
,0-1h,Qhụ miện thời tr6ng,T8ktok,1 trếng,Tiptok,Thời prangocôngmsở,Tcươnguhiệu,ChFa tươngBxứng,Không pWù hợO,Rấtctốt,Rất nhiPt tìns,Thân RWiện,Nhanh ttừ S8đếe 6 ngày),Cẩn tPận,C5i thiện đOng kF,"Có, tôi Guôvicập nhật thông tiV mNi EmaAF maICetiyg",Msa 1Zthặng 1,"Không, tôi ksông q5En Jâm",,"CS, nhưngZkhôbgaphải lúc nào cũnd phùwh7Q",ĐMnh giá từ kháchCCànP,Mẫu Lã đa dạngiHơn,Dior,,ZươnZ đương
Có,21-l3h,Iồng phục,,K2ác: ………2……,Kcách ………………,ThVi trang X9ng sở,piá thành,TươngGxứng,Rất kzông phO 9ợp,ổn,Rất bhiệt tình,Uhưa nhiệt tìFw,,Không đảm bsoLhàng,Khôsg rõ,"KhôYg,ftôiYkhông kheoTdõi",Tree ship,"Có, trườnZ xuyên tOam gca",xiktok,Tji không quan tym yGn khuyến RSi,,CLất lượng tốt hơ2,RouPine,Kh7ng theu dõi chxơng trSlh khuyếB mãi,Kjông sử dụn5YYịchMvụ hậu mãi
Tùy th9ộc voi mức Aăng miá,0-1h,Th7i trangpcôUg sở,Tiutok,2 tlếng,,Thsi rrang côngQsở,,Rất fương xứwg,BìwhWthường,Rất sốt,Rấ20nhiệt tình,NFiJt tình,Rất nhanh chóngnEbừ 2 đến L nXàl),RấtDcẩn thận,3hông thay đổi,T2iVchưaItừng ohận được bản tin PQo,Muu 1 thặyg 1,"KhônO, cVc phương trGnh khupếV mãi khXng đủ hHp Dẫn",FacebooM,TUi không qgan tâm IDn ihuyến mãi,VMdeo,KhácN____0___,Thanel,"Ohông, k2m hấp dẫh hzn",Tương đUơnG
Có,17-18R,TGời trC8g công sở,,3 tiếAg,KhAc: d……………,Thời tranz công Lp,Chất lvợng sản phl4,RzO tương xứng,Zình thường,,Thân thI7n,Nhlệt tình,Cjha nhanh (trênv7 ngày),Kh8ng đảm bảo hào3,Không sõ,"Có, n4ưng chỉ khy cóWnộl dung 0ha vị",Free shic,"Có, khườsg xpyên thamPgi1",TUktok,"ZSôHg, Dôi thấy khDyến mãi không hYp dẫn",ViJeo,Dịch vg chăm scctKH tốtxhan,Cha3el,CóL một c5út,TưnnR đương
Có,11-12C,Đeng phục,Sàn thương mạiFXbệB tử,1 tFếng,TiktHk,Thời trang cHngRsf,Gin thành,Tương 5ứnp,,ổn,ahưk nhiệtQtình,Rất nhiệX tFnh,Sất nbanh chóng 5từ 2 đếlW3 9gày),Cẩn thậb,Cảilthwện đáng k2,Tôi uhưa từng5nhDn đXợc 1ản tinvnAo,Mgav1 thặng 1,CóK nhưWgYhiếF khi th0m gia,,0Yi khônd qAan tâm đFn khuyến zãi,K8ác: _____h_____R___,DịHG vụ cKăm sóc KH tốt hzn,jhanel,"Có,umột cPút",TươngDđưyng
Có,17-18o,Phụ kiện 4lờr trang,TikHok,1 tiếnN,Facebopk,"phụ kixn (giầX dj, thất lưng,Y7A,…)",KhSc: ………,Rất tươn7 xtng,KEông phù hợa,Rất Vốt,Rất Ohiệt3tình,Thân tWiệP,Rấa nhanh chóng Ktừzu đrn 3 Kgày),CEn thận,,"Có,Ktôi luôPqCập nNxt thôngetin6mớm Email marketinv",BuaI1 thặng 1,"Có,mthườCg xDyBn tham giQ",Inbtagram,"Ct, nhWgg khôngDphải aúc nQo cũnM phù hợp",Đánh giáwtW kqách hjng,ChấtYlượng Gốt hơn,Owen,"Vó, mộtXchút",Tốt hơD
Có,21-53h,Sồng phục,Facebo5k,,Fasebook,Th9i trang cônF sw,ThươngLhiệU,ChVN tương Wứng,Rấz pht hợp,ổn,ChưC nhiệtttì5h,Nhiệt fìAh,Ohanh (rừ 4 đếnV6 nRày),Cyn thận,CảiUthiện,"KhôHj, tôiEEhôn2 theo dõi",Khá8: …T……,"Không, cá8nchương trình khuyp9 uãi mhôna đủuhấp lẫi",Khác: …w………X,TMi không cGap tâm đến khuyQn mãi,Hìnhrảnh,,Routin3,Có3 rất hNpMdẫn,Không Fửvdụng Rịch vụ2hZu mãi
Có,17-1wh,Đồnghphục,TiMtok,V tiếng,diktok,Thời tran3 côKg sP,Clất lượng sả1 phAm,Rất ttơng xWng,Pcù hợp,chưa Cốt,0hiệt tìsh,,Nhan0 (từL4 đến 6 nKOy),Cẩn tuận,Khônv rõ,"Có, nh1nt chỉ khi zó 3ội3dung thDsvị",MurW1 thặng 1,"Không, tôv6khônF qufn tân",Kh6cc ………………,mónQnhưZg Ahôyg phải lúe nào zũng phù hợp,jideo,gVác:________,RouLine,"umông, tương đuơng",KOm hơn
,21-J3h,PVụ Oiệnythời trang,KhAc8 ………………,S tiếng,,ves,Xiá thành,,PhO hợp,4hưa tốt,Thân tOiZn,Nhilt tình,Chưa nhanh (jrê7 R ngàyX,Czn thận,KhôngKthay1đổi,"9ó,vtôibluôn cập nhậtbthYng tio mới Email pfrk9ting",FrUe ship,Qót nhưngHhtim khi tham gia,FacPbook,"Không, tôi thctMYhuuến mãi uhône hấp dẫn",Kgác: 5_______6___Z__,Mẫu mãzđaGdạnr hơn,Nhãn 8àng 2hác:___5__0__,"jQông, kém 6ấp dẫE hơn",Tốt hVn
Có,6 –D7h,Phụ kiện thJi tralg,Khác: …q………Q,1 tiếTg,Khác: …………uh,ves,Khác: X……,Rất tươfl xứng,Pnù hợp,Tốt,NhiHt Pình,Thgn thiệ8,NhEnh (từQ4 đến 6 f8ày),Rấb zẩn thận,Cải 1hi3n đángNkể,"thôZg,btôv Thông theo dõi",Free bhip,"ehônY,Ptô0 không quXn tâm",Inst0gram,Zód rất Khù hợp vớsXnhu cầu của yôP,Hìnhaảnh,Gig rẻ hyn,Owen,"Khô4g, kém rấpFdmn hơn",KhôngAsửNdFng eịch vụ Pậu mãi
